Tag Name,Value,Timestamp
PT003_CompIn-barg,51.98828,23 Apr 2018 18:10:11:478  
PT003_CompIn-barg,51.983704,23 Apr 2018 18:10:11:730  
PT003_CompIn-barg,51.976837,23 Apr 2018 18:10:11:978  
PT003_CompIn-barg,51.97455,23 Apr 2018 18:10:12:227  
PT003_CompIn-barg,51.96768,23 Apr 2018 18:10:12:482  
PT003_CompIn-barg,51.965393,23 Apr 2018 18:10:12:727  
PT003_CompIn-barg,51.96082,23 Apr 2018 18:10:12:988  
PT003_CompIn-barg,51.94937,23 Apr 2018 18:10:13:232  
PT003_CompIn-barg,51.919617,23 Apr 2018 18:10:13:476  
PT003_CompIn-barg,51.882996,23 Apr 2018 18:10:13:731  
PT003_CompIn-barg,51.841797,23 Apr 2018 18:10:13:967  
PT003_CompIn-barg,51.812042,23 Apr 2018 18:10:14:228  
PT003_CompIn-barg,51.791443,23 Apr 2018 18:10:14:484  
PT003_CompIn-barg,51.773132,23 Apr 2018 18:10:14:733  
PT003_CompIn-barg,51.752533,23 Apr 2018 18:10:14:975  
PT003_CompIn-barg,51.747955,23 Apr 2018 18:10:15:227  
PT003_CompIn-barg,51.74109,23 Apr 2018 18:10:15:483  
PT003_CompIn-barg,51.7388,23 Apr 2018 18:10:15:728  
PT003_CompIn-barg,51.734222,23 Apr 2018 18:10:15:988  
PT003_CompIn-barg,51.734222,23 Apr 2018 18:10:16:232  
PT003_CompIn-barg,51.731934,23 Apr 2018 18:10:16:476  
PT003_CompIn-barg,51.731934,23 Apr 2018 18:10:16:737  
PT003_CompIn-barg,51.729645,23 Apr 2018 18:10:16:979  
PT003_CompIn-barg,51.727356,23 Apr 2018 18:10:17:224  
PT003_CompIn-barg,51.72278,23 Apr 2018 18:10:17:482  
PT003_CompIn-barg,51.72278,23 Apr 2018 18:10:17:718  
PT003_CompIn-barg,51.72049,23 Apr 2018 18:10:17:974  
PT003_CompIn-barg,51.7182,23 Apr 2018 18:10:18:232  
PT003_CompIn-barg,51.71591,23 Apr 2018 18:10:18:475  
PT003_CompIn-barg,51.711334,23 Apr 2018 18:10:18:727  
PT003_CompIn-barg,51.709045,23 Apr 2018 18:10:18:977  
PT003_CompIn-barg,51.706757,23 Apr 2018 18:10:19:227  
PT003_CompIn-barg,51.706757,23 Apr 2018 18:10:19:472  
PT003_CompIn-barg,51.69989,23 Apr 2018 18:10:19:708  
PT003_CompIn-barg,51.695312,23 Apr 2018 18:10:19:968  
PT003_CompIn-barg,51.693024,23 Apr 2018 18:10:20:222  
PT003_CompIn-barg,51.695312,23 Apr 2018 18:10:20:487  
